geology,scenario,alpha,model,policy,horizon,trials,honest_deposits_mean,attack_deposits_mean,delta_mean,elasticity,delta_median,delta_p90,delta_p95,delta_p99,delta_maximum,maximum_prefix_delta_observed,probability_any_state_raising_selection,registered_conditional_success_probability,honest_k0_epochs_mean,honest_k1_epochs_mean,honest_k_ge_2_epochs_mean,honest_exact_p_k0_epochs_mean,honest_exact_p_k1_epochs_mean,honest_exact_p_k_ge_2_epochs_mean,attacked_counterfactual_k0_epochs_mean,attacked_counterfactual_k1_epochs_mean,attacked_counterfactual_k_ge_2_epochs_mean,attacked_counterfactual_exact_p_k0_epochs_mean,attacked_counterfactual_exact_p_k1_epochs_mean,attacked_counterfactual_exact_p_k_ge_2_epochs_mean,actual_attacked_k0_epochs_mean,actual_attacked_k1_epochs_mean,actual_attacked_k_ge_2_epochs_mean,selectable_epochs_mean,selection_attempt_epochs_mean,state_raising_selection_epochs_mean,harmful_selection_epochs_mean,discarded_valid_candidates_mean,replacement_discoveries_mean,attacker_replacements_mean,honest_replacements_mean,withheld_bitcoin_blocks_mean,bitcoin_reward_cost_mean_R,extra_sha_trials_mean,R_per_expected_global_marginal_deposit,attacker_captured_marginal_deposits_retain_share,R_per_expected_attacker_captured_deposit,divergence_duration_mean,probability_reconvergence_given_divergence,reconvergence_time_mean_given_observed,probability_terminal_state_diverged,terminal_g1_relative_difference_mean,terminal_g2_relative_difference_mean,private_fork_or_orphan_cost_R,latency_cost_R
c10-eclip,A-constant,0.01,A,prefer-shallow,10000,32,12.59375,12.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9987.40625,12.5625,0.03125,9988.116455958005,11.844377277146796,0.039166764991519464,9987.40625,12.5625,0.03125,9988.116455958005,11.844377277146796,0.039166764991519464,9987.40625,12.5625,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,prefer-shallow,100000,4,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99980.0,20.0,0.0,99979.4345608996,20.513883175432863,0.05155594895599834,99980.0,20.0,0.0,99979.4345608996,20.513883175432863,0.05155594895599834,99980.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,publish-minimum,100,512,2.0546875,2.0546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,97.9453125,2.03125,0.0234375,98.03326300680783,1.9458182336390901,0.02091875955303491,97.9453125,2.03125,0.0234375,98.03326300680783,1.9458182336390901,0.02091875955303491,97.9453125,2.03125,0.0234375,0.0234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,publish-minimum,476,256,5.03515625,5.03515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,470.96484375,5.00390625,0.03125,470.8246814923312,5.135154357492105,0.04016415017580123,470.96484375,5.00390625,0.03125,470.8246814923312,5.135154357492105,0.04016415017580123,470.96484375,5.00390625,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,publish-minimum,800,256,6.26953125,6.26953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,793.73046875,6.23828125,0.03125,793.5619292128376,6.394588389636044,0.04348239752578003,793.73046875,6.23828125,0.03125,793.5619292128376,6.394588389636044,0.04348239752578003,793.73046875,6.23828125,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,publish-minimum,2000,128,8.296875,8.296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1991.703125,8.25,0.046875,1991.4595666974521,8.4954143072686,0.0450189952819032,1991.703125,8.25,0.046875,1991.4595666974521,8.4954143072686,0.0450189952819032,1991.703125,8.25,0.046875,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,publish-minimum,10000,32,12.59375,12.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9987.40625,12.5625,0.03125,9988.116455958005,11.844377277146796,0.039166764991519464,9987.40625,12.5625,0.03125,9988.116455958005,11.844377277146796,0.039166764991519464,9987.40625,12.5625,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,publish-minimum,100000,4,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99980.0,20.0,0.0,99979.4345608996,20.513883175432863,0.05155594895599834,99980.0,20.0,0.0,99979.4345608996,20.513883175432863,0.05155594895599834,99980.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,state-aware,100,512,1.953125,1.953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,98.046875,1.93359375,0.01953125,98.01869614981031,1.9601310277038575,0.021172822485786943,98.046875,1.93359375,0.01953125,98.01869614981031,1.9601310277038575,0.021172822485786943,98.046875,1.93359375,0.01953125,0.01953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,state-aware,476,256,5.0859375,5.0859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,470.9140625,5.04296875,0.04296875,470.76488577730953,5.194496703814911,0.0406175188749001,470.9140625,5.04296875,0.04296875,470.76488577730953,5.194496703814911,0.0406175188749001,470.9140625,5.04296875,0.04296875,0.04296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
